"County","EarlyTotal","Date"
"Clay","131","2016-10-27"
"Moore","126","2016-10-27"
"Unicoi","267","2016-10-27"
"Wayne","182","2016-10-27"
"Hickman","250","2016-10-27"
"Roane","974","2016-10-27"
"Maury","1400","2016-10-27"
"Fentress","346","2016-10-27"
"Johnson","236","2016-10-27"
"Jackson","137","2016-10-27"
"Bledsoe","81","2016-10-27"
"Madison","1720","2016-10-27"
"Lake","102","2016-10-27"
"Rhea","504","2016-10-27"
"Claiborne","461","2016-10-27"
"Hardeman","338","2016-10-27"
"Lawrence","507","2016-10-27"
"Crockett","202","2016-10-27"
"Marion","303","2016-10-27"
"McNairy","364","2016-10-27"
"Benton","265","2016-10-27"
"Franklin","649","2016-10-27"
"Carroll","379","2016-10-27"
"Weakley","465","2016-10-27"
"Carroll","365","2016-10-19"
"Humphreys","298","2016-10-27"
"Sequatchie","220","2016-10-27"
"Overton","385","2016-10-27"
"Lincoln","478","2016-10-27"
"McMinn","989","2016-10-27"
"Stewart","212","2016-10-27"
"Bradley","1850","2016-10-27"
"Anderson","1502","2016-10-27"
"Smith","311","2016-10-27"
"Loudon","1481","2016-10-27"
"Van Buren","80","2016-10-27"
"Grundy","128","2016-10-27"
"Hardin","515","2016-10-27"
"Sullivan","3038","2016-10-27"
"Decatur","204","2016-10-27"
"Greene","898","2016-10-27"
"Monroe","761","2016-10-27"
"Cumberland","1366","2016-10-27"
"Henderson","536","2016-10-27"
"Bedford","705","2016-10-27"
"Coffee","823","2016-10-27"
"Montgomery","2356","2016-10-27"
"Trousdale","158","2016-10-27"
"Warren","621","2016-10-27"
"Giles","581","2016-10-27"
"Haywood","489","2016-10-27"
"Cheatham","1232","2016-10-27"
"Gibson","637","2016-10-27"
"White","411","2016-10-27"
"Tipton","1069","2016-10-27"
"DeKalb","360","2016-10-27"
"Sevier","1634","2016-10-27"
"Wilson","2977","2016-10-27"
"Washington","2359","2016-10-27"
"Meigs","195","2016-10-27"
"Marshall","418","2016-10-27"
"Sumner","4978","2016-10-27"
"Lauderdale","395","2016-10-27"
"Macon","447","2016-10-27"
"Henry","667","2016-10-27"
"Davidson","11845","2016-10-27"
"Hamilton","4984","2016-10-27"
"Hamblen","988","2016-10-27"
"Dickson","1336","2016-10-27"
"Houston","127","2016-10-27"
"Dyer","556","2016-10-27"
"Williamson","5382","2016-10-27"
"Cannon","160","2016-10-27"
"Fayette","956","2016-10-27"
"Scott","201","2016-10-27"
"Obion","579","2016-10-27"
"Rutherford","5190","2016-10-27"
"Union","137","2016-10-28"
"Blount","2666","2016-10-27"
"DeKalb","293","2016-10-28"
"Haywood","229","2016-10-28"
"Morgan","294","2016-10-28"
"McMinn","927","2016-10-28"
"Hancock","77","2016-10-28"
"Carter","930","2016-10-28"
"Perry","118","2016-10-28"
"Hardin","437","2016-10-28"
"Grainger","387","2016-10-28"
"Cannon","186","2016-10-28"
"Clay","144","2016-10-28"
"Unicoi","373","2016-10-28"
"Lewis","265","2016-10-28"
"Hickman","357","2016-10-28"
"Cheatham","1068","2016-10-28"
"Wayne","271","2016-10-28"
"Pickett","83","2016-10-28"
"Johnson","333","2016-10-28"
"Lake","96","2016-10-28"
"Claiborne","511","2016-10-28"
"Giles","526","2016-10-28"
"Roane","1333","2016-10-28"
"Moore","179","2016-10-28"
"Jackson","175","2016-10-28"
"Madison","1817","2016-10-28"
"Henderson","457","2016-10-28"
"Grundy","215","2016-10-28"
"Fentress","379","2016-10-28"
"Smith","354","2016-10-28"
"Bledsoe","133","2016-10-28"
"Decatur","199","2016-10-28"
"Monroe","897","2016-10-28"
"Maury","1516","2016-10-28"
"Hardeman","380","2016-10-28"
"Fayette","1008","2016-10-28"
"Carroll","463","2016-10-28"
"Rhea","627","2016-10-28"
"Dickson","931","2016-10-28"
"Marion","385","2016-10-28"
"Rhea","521","2016-10-21"
"Lawrence","637","2016-10-28"
"Macon","343","2016-10-28"
"Lauderdale","295","2016-10-28"
"Weakley","623","2016-10-28"
"Humphreys","360","2016-10-28"
"Franklin","742","2016-10-28"
"McNairy","449","2016-10-28"
"Houston","142","2016-10-28"
"Crockett","228","2016-10-28"
"Bedford","797","2016-10-28"
"Sequatchie","293","2016-10-28"
"Overton","433","2016-10-28"
"Stewart","218","2016-10-28"
"Putnam","1199","2016-10-28"
"Lincoln","638","2016-10-28"
"Cumberland","1397","2016-10-28"
"Marshall","423","2016-10-28"
"Scott","545","2016-10-28"
"Bradley","2010","2016-10-28"
"Van Buren","131","2016-10-28"
"Anderson","1733","2016-10-28"
"Benton","349","2016-10-28"
"Cocke","675","2016-10-28"
"Sullivan","3388","2016-10-28"
"Sevier","1620","2016-10-28"
"Coffee","958","2016-10-28"
"Loudon","1449","2016-10-28"
"Meigs","224","2016-10-28"
"Greene","849","2016-10-28"
"Washington","2464","2016-10-28"
"Montgomery","2512","2016-10-28"
"Tipton","1280","2016-10-28"
"Henry","564","2016-10-28"
"Gibson","803","2016-10-28"
"Sumner","5284","2016-10-28"
"Obion","649","2016-10-28"
"Hamblen","929","2016-10-28"
"Davidson","11846","2016-10-28"
"White","397","2016-10-28"
"Rutherford","5897","2016-10-28"
"Wilson","3233","2016-10-28"
"Hamilton","5087","2016-10-28"
"Warren","658","2016-10-28"
"Dyer","670","2016-10-28"
"Blount","2611","2016-10-28"
"Chester","255","2016-10-27"
"Chester","345","2016-10-28"
"Polk","395","2016-10-28"
"Trousdale","135","2016-10-28"
"Carter","505","2016-10-29"
"Unicoi","140","2016-10-29"
"Morgan","197","2016-10-29"
"Johnson","143","2016-10-29"
"McMinn","500","2016-10-29"
"Hancock","56","2016-10-29"
"Anderson","717","2016-10-29"
"Loudon","612","2016-10-29"
"Scott","226","2016-10-29"
"Monroe","370","2016-10-29"
"Greene","408","2016-10-29"
"Meigs","107","2016-10-29"
"Cocke","265","2016-10-29"
"Union","211","2016-10-29"
"Sevier","770","2016-10-29"
"Clay","86","2016-10-29"
"Grainger","295","2016-10-29"
"Hawkins","397","2016-10-29"
"Lewis","149","2016-10-29"
"Sequatchie","129","2016-10-29"
"Pickett","68","2016-10-29"
"Perry","60","2016-10-29"
"Lauderdale","214","2016-10-29"
"Wayne","180","2016-10-29"
"Lake","65","2016-10-29"
"Lincoln","399","2016-10-29"
"Henderson","267","2016-10-29"
"Roane","776","2016-10-29"
"Decatur","149","2016-10-29"
"Moore","113","2016-10-29"
"Trousdale","110","2016-10-29"
"Macon","210","2016-10-29"
"Cumberland","553","2016-10-29"
"Smith","270","2016-10-29"
"Claiborne","205","2016-10-29"
"Overton","266","2016-10-29"
"Stewart","102","2016-10-29"
"Madison","1157","2016-10-29"
"Jackson","140","2016-10-29"
"Carroll","254","2016-10-29"
"Crockett","154","2016-10-29"
"Lawrence","448","2016-10-29"
"Franklin","450","2016-10-29"
"Marion","220","2016-10-29"
"Chester","214","2016-10-29"
"Fentress","258","2016-10-29"
"Rhea","254","2016-10-29"
"White","206","2016-10-29"
"Houston","63","2016-10-29"
"Gibson","388","2016-10-29"
